arquivo,paginas,caracteres_originais,caracteres_limpos,reducao_percentual
01_gbc_zero_energy_guia.pdf,29,50318,49737,1.15
02_gbc_zero_energy_pagina.pdf,6,8243,6445,21.81
03_gbc_leed_certificacao.pdf,8,9305,7240,22.19
04_usgbc_leed_credit_library.pdf,2,1890,1786,5.5
05_gbc_brasil_casa_guia.pdf,15,30429,29811,2.03
06_procel_eficiencia_edificios_publicos.pdf,240,387918,380724,1.85
07_iea_energy_efficiency_buildings.pdf,7,6588,5453,17.23
08_iea_policy_toolkit_building.pdf,6,10760,8092,24.8
09_adasa_reuso_aguas_cinzas.pdf,68,153131,151606,1.0
10_ipt_manual_aguas_cinzas.pdf,32,20799,20127,3.23
